Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
17.12.2018;117,900;118,500;116,600;117,000;EUR;168635
18.12.2018;116,800;117,600;116,300;116,600;EUR;187202
19.12.2018;116,500;118,100;116,400;117,800;EUR;195431
20.12.2018;116,100;117,000;115,500;116,800;EUR;150925
21.12.2018;116,500;117,400;115,700;116,500;EUR;301588
27.12.2018;116,200;116,200;113,600;114,500;EUR;126612
28.12.2018;114,800;117,700;114,700;117,700;EUR;102437
02.01.2019;116,700;117,000;114,500;116,400;EUR;170392
03.01.2019;115,700;118,700;115,400;117,800;EUR;215047
04.01.2019;117,800;120,300;117,600;120,100;EUR;181838
07.01.2019;120,600;121,600;117,600;118,300;EUR;219481
08.01.2019;118,300;119,300;118,000;118,400;EUR;135141
09.01.2019;119,400;120,600;118,100;120,300;EUR;185503
10.01.2019;119,900;122,600;119,500;122,600;EUR;185135
11.01.2019;122,900;123,400;122,100;122,800;EUR;175686
14.01.2019;122,600;122,600;121,900;122,500;EUR;118453
15.01.2019;123,400;123,900;122,400;122,900;EUR;164193
16.01.2019;123,100;123,600;122,800;123,500;EUR;120859
17.01.2019;123,200;123,900;122,500;123,700;EUR;134654
18.01.2019;124,500;125,400;124,100;125,100;EUR;139635
21.01.2019;125,400;126,700;125,200;126,400;EUR;110592
22.01.2019;126,400;127,600;125,900;126,100;EUR;142438
23.01.2019;126,200;128,500;125,800;128,000;EUR;216430
24.01.2019;128,100;129,300;127,600;129,300;EUR;170346
25.01.2019;129,500;129,700;127,800;127,800;EUR;167024
28.01.2019;127,900;128,100;126,900;127,700;EUR;146635
29.01.2019;127,800;128,700;127,300;128,300;EUR;217083
30.01.2019;128,300;128,600;126,700;127,400;EUR;168642
31.01.2019;127,200;128,100;125,100;125,900;EUR;217184
01.02.2019;126,300;127,600;125,800;127,400;EUR;144282
04.02.2019;127,600;128,200;126,900;127,700;EUR;115447
05.02.2019;127,900;128,500;126,000;127,300;EUR;222972
06.02.2019;127,400;127,500;126,600;127,400;EUR;124474
07.02.2019;127,000;128,300;126,400;126,500;EUR;185220
08.02.2019;126,300;127,100;125,300;125,800;EUR;178268
11.02.2019;126,000;127,800;125,900;127,800;EUR;178340
12.02.2019;128,800;129,200;128,000;128,300;EUR;146873
13.02.2019;129,400;129,400;127,600;128,700;EUR;138105
14.02.2019;129,000;129,800;127,700;127,800;EUR;192523
15.02.2019;127,500;129,000;127,000;128,700;EUR;176561
18.02.2019;129,000;129,300;128,400;128,900;EUR;73221
19.02.2019;128,600;130,200;128,200;130,000;EUR;173549
20.02.2019;129,900;131,000;129,300;130,400;EUR;150687
21.02.2019;131,100;131,800;130,300;130,400;EUR;155546
22.02.2019;130,400;131,000;129,900;130,000;EUR;106437
25.02.2019;130,300;130,800;130,100;130,500;EUR;102680
26.02.2019;130,200;130,900;129,700;130,700;EUR;123485
27.02.2019;130,400;130,800;129,600;130,300;EUR;131927
28.02.2019;129,900;131,200;129,600;131,000;EUR;180272
01.03.2019;131,900;132,300;131,300;131,500;EUR;149612
04.03.2019;132,100;132,300;131,000;131,000;EUR;110923
05.03.2019;131,200;132,000;130,700;131,100;EUR;153400
06.03.2019;131,200;131,800;131,100;131,300;EUR;123862
07.03.2019;131,000;132,000;127,600;128,700;EUR;269665
08.03.2019;128,500;128,700;126,700;126,900;EUR;223919
11.03.2019;127,400;127,700;126,900;127,500;EUR;174363
12.03.2019;128,200;128,200;126,900;128,000;EUR;189453
13.03.2019;128,300;128,900;127,400;128,300;EUR;147841
14.03.2019;128,400;130,100;128,400;129,700;EUR;161384
15.03.2019;130,300;132,100;129,800;132,100;EUR;904345
18.03.2019;132,100;132,900;131,300;132,400;EUR;178446
19.03.2019;132,400;132,900;132,100;132,200;EUR;121215
20.03.2019;131,800;132,100;126,500;126,800;EUR;282175
21.03.2019;126,600;126,600;125,200;126,400;EUR;171434
22.03.2019;126,900;127,000;125,600;125,600;EUR;156891
25.03.2019;125,600;126,200;124,900;125,600;EUR;139350
26.03.2019;126,200;127,300;125,600;125,800;EUR;143195
27.03.2019;126,300;126,700;125,300;126,700;EUR;147398
28.03.2019;126,900;127,300;126,300;127,000;EUR;117827
29.03.2019;127,700;128,700;127,000;128,000;EUR;209542
01.04.2019;129,200;129,600;128,600;128,800;EUR;180810
02.04.2019;128,800;130,600;128,800;129,900;EUR;140768
03.04.2019;131,000;132,700;130,800;132,500;EUR;240237
04.04.2019;132,300;132,800;131,700;131,900;EUR;151574
05.04.2019;131,700;132,200;131,100;131,700;EUR;138692
08.04.2019;132,000;132,100;130,800;131,400;EUR;121400
09.04.2019;130,700;132,400;130,200;130,200;EUR;143281
10.04.2019;130,100;130,700;129,800;129,800;EUR;198169
11.04.2019;129,800;130,400;129,600;130,300;EUR;129502
12.04.2019;130,400;130,700;129,600;130,700;EUR;115954
15.04.2019;131,000;131,300;130,500;131,000;EUR;101311
16.04.2019;131,200;133,900;131,000;133,600;EUR;163038
17.04.2019;133,300;133,900;132,700;133,400;EUR;112013
18.04.2019;133,600;134,000;132,900;133,600;EUR;94951
23.04.2019;134,200;134,700;133,000;134,700;EUR;160928
24.04.2019;134,500;135,400;133,900;135,000;EUR;209721
25.04.2019;135,200;135,400;134,300;135,000;EUR;147084
26.04.2019;135,400;135,700;134,800;135,100;EUR;123533
29.04.2019;136,000;136,000;134,900;135,700;EUR;139455
30.04.2019;133,500;134,900;133,500;134,400;EUR;194206
02.05.2019;134,400;134,500;132,600;132,800;EUR;183771
03.05.2019;132,900;133,600;131,900;133,300;EUR;111195
06.05.2019;132,100;132,700;130,600;131,900;EUR;122084
07.05.2019;133,000;135,300;133,000;133,600;EUR;229474
08.05.2019;133,800;135,600;133,100;135,100;EUR;230264
09.05.2019;129,600;130,000;126,500;126,600;EUR;250172
10.05.2019;127,400;129,600;127,200;128,900;EUR;348129
13.05.2019;129,300;129,500;127,500;128,200;EUR;175521
14.05.2019;127,600;130,600;127,600;130,600;EUR;220045
15.05.2019;131,400;134,000;130,600;134,000;EUR;262996
16.05.2019;133,600;137,500;133,400;136,800;EUR;285047
17.05.2019;137,400;137,800;135,700;136,300;EUR;173070
20.05.2019;136,700;137,200;134,500;135,200;EUR;146831
21.05.2019;135,200;136,700;134,900;135,200;EUR;179863
22.05.2019;134,200;135,700;133,800;134,800;EUR;192506
23.05.2019;133,800;134,700;133,100;133,500;EUR;156321
24.05.2019;133,800;135,400;133,800;134,700;EUR;155286
27.05.2019;135,400;135,800;134,600;134,800;EUR;63140
28.05.2019;135,100;135,400;133,800;134,500;EUR;234967
29.05.2019;134,000;134,400;132,500;133,100;EUR;175154
30.05.2019;133,800;135,400;133,800;135,200;EUR;88443
31.05.2019;133,500;134,200;132,700;134,200;EUR;199198
03.06.2019;133,400;135,200;132,900;135,200;EUR;150199
04.06.2019;135,200;136,500;134,600;136,400;EUR;183352
05.06.2019;137,000;137,700;136,300;137,700;EUR;192474
06.06.2019;137,500;138,200;137,100;137,800;EUR;149188
07.06.2019;138,300;139,900;137,900;139,600;EUR;158417
11.06.2019;140,600;140,800;139,800;139,900;EUR;109992
12.06.2019;139,800;140,300;139,000;140,300;EUR;152988
13.06.2019;139,800;140,500;139,700;140,100;EUR;122058
14.06.2019;139,800;140,200;139,100;140,200;EUR;85648
17.06.2019;140,600;141,200;140,200;140,800;EUR;116686
18.06.2019;140,400;141,300;139,800;141,100;EUR;164948
19.06.2019;140,700;141,600;140,400;141,100;EUR;159318
20.06.2019;141,600;142,200;140,700;140,900;EUR;138605
21.06.2019;141,200;142,200;140,700;141,700;EUR;352603
24.06.2019;142,000;143,300;141,800;141,800;EUR;129054
25.06.2019;141,800;142,200;140,900;142,000;EUR;151578
26.06.2019;141,700;142,000;141,000;141,000;EUR;161347
27.06.2019;141,700;141,700;139,600;140,500;EUR;153373
28.06.2019;140,300;142,600;140,200;142,200;EUR;175798
01.07.2019;143,000;143,900;142,600;143,000;EUR;157871
02.07.2019;143,100;145,600;142,700;145,600;EUR;161245
03.07.2019;146,100;148,000;145,700;147,400;EUR;169824
04.07.2019;147,600;147,800;146,800;147,100;EUR;111505
05.07.2019;147,700;147,700;144,600;145,300;EUR;139241
08.07.2019;145,500;145,900;144,800;145,100;EUR;156530
09.07.2019;144,600;146,000;144,300;145,400;EUR;137826
10.07.2019;145,700;145,700;143,800;143,900;EUR;99470
11.07.2019;144,300;144,300;142,400;142,700;EUR;165905
12.07.2019;142,500;143,000;142,000;142,500;EUR;102421
15.07.2019;142,800;143,800;142,600;143,200;EUR;123213
16.07.2019;143,000;144,300;143,000;144,000;EUR;118463
17.07.2019;144,300;144,600;143,400;143,400;EUR;118502
18.07.2019;142,700;143,600;142,600;143,200;EUR;91058
19.07.2019;144,000;144,500;143,300;143,800;EUR;78030
22.07.2019;143,400;143,500;142,200;142,900;EUR;74846
23.07.2019;143,000;143,300;142,000;142,300;EUR;92327
24.07.2019;142,300;143,500;141,800;143,000;EUR;108686
25.07.2019;143,700;143,900;141,000;141,500;EUR;109554
26.07.2019;141,900;142,500;141,300;141,800;EUR;84994
29.07.2019;141,700;143,600;141,300;143,300;EUR;90253
30.07.2019;143,800;143,800;140,700;140,900;EUR;95584
31.07.2019;140,700;141,900;140,000;141,700;EUR;149075
01.08.2019;140,900;143,000;140,600;143,000;EUR;121158
02.08.2019;141,900;142,500;140,400;141,000;EUR;129705
05.08.2019;140,100;140,700;139,100;139,500;EUR;136091
06.08.2019;139,000;139,600;137,700;137,700;EUR;159069
07.08.2019;138,800;139,900;137,700;138,600;EUR;170856
08.08.2019;137,100;141,600;136,000;141,500;EUR;175758
09.08.2019;141,700;142,900;141,500;142,000;EUR;135360
12.08.2019;143,800;145,300;143,800;144,600;EUR;156096
13.08.2019;144,400;144,600;141,900;143,700;EUR;152082
14.08.2019;143,600;144,400;141,700;142,500;EUR;163047
15.08.2019;143,000;143,400;140,600;142,300;EUR;138392
16.08.2019;142,900;144,900;142,300;144,700;EUR;132884
19.08.2019;146,400;147,400;145,500;146,500;EUR;148673
20.08.2019;147,100;147,300;145,700;146,300;EUR;96067
21.08.2019;146,800;149,800;146,800;149,200;EUR;147326
22.08.2019;148,900;149,100;146,700;147,600;EUR;145245
23.08.2019;148,100;148,200;146,300;146,300;EUR;94607
26.08.2019;145,500;146,800;145,100;146,400;EUR;71003
27.08.2019;146,800;147,200;145,400;146,700;EUR;163125
28.08.2019;146,400;146,500;143,400;144,500;EUR;135545
29.08.2019;144,100;145,800;143,900;145,700;EUR;106903
30.08.2019;146,700;146,700;144,400;144,800;EUR;125330
02.09.2019;145,000;147,600;145,000;146,800;EUR;87832
03.09.2019;146,900;147,000;146,100;146,200;EUR;79976
04.09.2019;147,500;148,700;147,200;147,800;EUR;94203
05.09.2019;148,600;149,900;148,300;148,700;EUR;103329
06.09.2019;149,300;149,900;148,600;149,300;EUR;97125
09.09.2019;149,600;151,800;149,500;150,900;EUR;116708
10.09.2019;150,000;152,500;149,300;151,900;EUR;149301
11.09.2019;152,300;153,400;151,800;152,400;EUR;115430
12.09.2019;152,300;152,800;149,700;151,000;EUR;155885
13.09.2019;151,300;151,700;150,300;151,200;EUR;97199
16.09.2019;149,100;149,400;147,200;148,200;EUR;138779
17.09.2019;148,000;148,400;147,100;148,300;EUR;160607
18.09.2019;148,300;149,600;148,300;149,000;EUR;136803
19.09.2019;148,900;150,400;148,300;150,100;EUR;109519
20.09.2019;150,300;152,100;150,200;151,700;EUR;219212
23.09.2019;151,700;152,100;150,800;151,700;EUR;84769
24.09.2019;152,400;153,200;151,400;153,000;EUR;113308
25.09.2019;152,500;153,000;150,800;152,500;EUR;118447
26.09.2019;152,600;155,100;151,700;154,800;EUR;147966
27.09.2019;155,700;155,700;152,500;154,000;EUR;108724
30.09.2019;153,900;155,200;153,600;155,100;EUR;118414
01.10.2019;156,100;156,700;153,700;154,400;EUR;138620
02.10.2019;154,300;154,400;152,100;152,500;EUR;147661
04.10.2019;153,000;154,100;151,800;153,800;EUR;132786
07.10.2019;154,200;155,500;153,700;155,200;EUR;139100
08.10.2019;155,900;156,000;154,300;154,400;EUR;83248
09.10.2019;155,100;155,200;153,700;154,900;EUR;106547
10.10.2019;155,400;156,100;153,000;154,200;EUR;225783
11.10.2019;155,100;156,600;153,900;155,700;EUR;138849
14.10.2019;155,600;156,700;154,800;156,400;EUR;103558
15.10.2019;156,800;158,100;156,200;157,800;EUR;116471
16.10.2019;158,200;158,600;155,500;156,400;EUR;130144
17.10.2019;156,800;158,900;156,500;157,200;EUR;111398
18.10.2019;157,200;158,200;156,400;158,100;EUR;117062
21.10.2019;158,000;159,600;157,200;157,600;EUR;130174
22.10.2019;157,800;158,200;156,600;158,200;EUR;130851
23.10.2019;157,200;157,800;156,500;157,400;EUR;134661
24.10.2019;158,100;160,200;157,800;159,900;EUR;140170
25.10.2019;159,800;160,300;157,900;158,200;EUR;101231
28.10.2019;159,700;160,200;158,300;159,700;EUR;95051
29.10.2019;160,000;160,100;158,700;159,900;EUR;105789
30.10.2019;160,300;160,600;159,500;160,400;EUR;113891
31.10.2019;160,700;160,800;158,600;158,800;EUR;157633
01.11.2019;158,800;159,800;158,000;159,300;EUR;109500
04.11.2019;161,300;162,200;160,100;161,500;EUR;177991
05.11.2019;161,300;161,400;159,600;160,600;EUR;176500
06.11.2019;161,500;165,800;159,100;165,800;EUR;250051
07.11.2019;165,200;166,400;164,600;165,800;EUR;136742
08.11.2019;165,500;165,700;164,700;165,700;EUR;143997
11.11.2019;165,700;165,800;164,100;165,800;EUR;117749
12.11.2019;166,000;166,700;164,700;166,300;EUR;150281
13.11.2019;166,400;166,500;163,600;165,500;EUR;150707
14.11.2019;165,000;166,500;164,700;166,400;EUR;119814
15.11.2019;167,100;168,500;166,700;168,400;EUR;130680
