Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
18.07.2022;9,522;9,522;9,522;9,522;EUR;0
19.07.2022;9,610;9,620;9,440;9,440;EUR;310
20.07.2022;9,920;9,920;9,780;9,780;EUR;20
21.07.2022;9,470;9,650;9,470;9,650;EUR;150
22.07.2022;9,890;9,900;9,720;9,720;EUR;270
25.07.2022;9,840;9,840;9,670;9,670;EUR;60
26.07.2022;10,340;10,340;10,140;10,140;EUR;20
27.07.2022;10,400;10,400;9,960;10,160;EUR;420
28.07.2022;10,080;10,080;10,080;10,080;EUR;0
29.07.2022;10,020;10,020;10,020;10,020;EUR;0
01.08.2022;10,060;10,060;9,870;9,870;EUR;111
02.08.2022;9,730;9,830;9,650;9,650;EUR;570
03.08.2022;9,880;9,880;9,710;9,710;EUR;25
04.08.2022;10,180;10,180;9,880;9,880;EUR;10
05.08.2022;10,140;10,140;10,140;10,140;EUR;0
08.08.2022;10,080;10,080;10,080;10,080;EUR;0
09.08.2022;10,680;10,680;10,680;10,680;EUR;0
10.08.2022;10,460;10,460;10,460;10,460;EUR;0
11.08.2022;10,620;10,620;10,620;10,620;EUR;0
12.08.2022;10,760;10,800;10,620;10,620;EUR;80
15.08.2022;10,980;11,220;10,980;11,040;EUR;97
16.08.2022;11,020;11,040;10,820;10,820;EUR;33
17.08.2022;11,060;11,060;10,840;10,840;EUR;246
18.08.2022;10,620;10,620;10,620;10,620;EUR;0
19.08.2022;10,140;10,580;10,140;10,380;EUR;142
22.08.2022;10,610;10,840;10,610;10,840;EUR;1
23.08.2022;11,240;11,240;11,020;11,020;EUR;50
24.08.2022;11,080;11,080;10,760;10,760;EUR;345
25.08.2022;10,400;10,800;10,400;10,500;EUR;430
26.08.2022;10,900;10,900;10,700;10,700;EUR;421
29.08.2022;11,100;11,300;10,600;11,100;EUR;595
30.08.2022;11,000;11,000;10,900;10,900;EUR;50
31.08.2022;10,700;10,700;10,500;10,500;EUR;26
01.09.2022;10,500;10,500;10,000;10,300;EUR;570
02.09.2022;10,000;10,000;10,000;10,000;EUR;0
05.09.2022;9,650;9,900;9,650;9,900;EUR;160
06.09.2022;10,600;10,600;10,500;10,500;EUR;128
07.09.2022;10,400;10,400;10,400;10,400;EUR;0
08.09.2022;10,400;10,400;10,400;10,400;EUR;0
09.09.2022;10,600;10,700;10,400;10,400;EUR;994
12.09.2022;10,800;11,300;10,600;11,300;EUR;11532
13.09.2022;10,200;10,400;10,200;10,400;EUR;650
14.09.2022;10,800;11,000;10,800;10,800;EUR;850
15.09.2022;11,100;11,100;11,000;11,000;EUR;3275
16.09.2022;10,700;10,700;10,200;10,200;EUR;645
19.09.2022;10,300;10,300;10,000;10,000;EUR;55
20.09.2022;10,600;10,600;10,400;10,400;EUR;189
21.09.2022;10,600;10,800;10,600;10,700;EUR;550
22.09.2022;10,400;10,800;10,400;10,800;EUR;10
23.09.2022;10,200;10,450;10,200;10,450;EUR;529
26.09.2022;10,700;10,700;10,600;10,600;EUR;30
27.09.2022;10,400;10,400;10,400;10,400;EUR;0
28.09.2022;9,900;9,900;9,900;9,900;EUR;0
29.09.2022;9,700;9,700;9,400;9,400;EUR;201
30.09.2022;8,750;9,150;8,750;8,900;EUR;1110
03.10.2022;8,250;8,250;8,250;8,250;EUR;0
04.10.2022;8,450;8,450;8,150;8,300;EUR;1163
05.10.2022;8,950;9,100;8,900;8,900;EUR;2225
06.10.2022;9,050;9,350;9,050;9,150;EUR;200
07.10.2022;9,250;9,250;9,100;9,100;EUR;300
10.10.2022;8,400;8,400;8,400;8,400;EUR;0
11.10.2022;8,700;8,700;8,500;8,500;EUR;87
12.10.2022;8,500;8,500;8,500;8,500;EUR;0
13.10.2022;8,050;8,050;8,050;8,050;EUR;0
14.10.2022;7,900;8,300;7,900;8,100;EUR;220
17.10.2022;8,000;8,100;7,850;7,850;EUR;755
18.10.2022;8,000;8,000;8,000;8,000;EUR;0
19.10.2022;8,100;8,100;7,950;7,950;EUR;125
20.10.2022;7,850;7,900;7,700;7,700;EUR;625
21.10.2022;7,650;7,650;7,650;7,650;EUR;0
24.10.2022;7,750;7,750;7,650;7,650;EUR;750
25.10.2022;8,250;8,450;7,700;8,150;EUR;1770
26.10.2022;8,300;8,550;8,300;8,300;EUR;1500
27.10.2022;8,500;8,500;8,500;8,500;EUR;0
28.10.2022;8,450;8,450;8,400;8,400;EUR;590
31.10.2022;8,250;8,250;8,250;8,250;EUR;0
01.11.2022;8,550;8,800;8,550;8,800;EUR;120
02.11.2022;9,150;9,150;8,950;8,950;EUR;163
03.11.2022;8,400;8,700;8,400;8,700;EUR;360
04.11.2022;9,550;9,550;9,150;9,150;EUR;1700
07.11.2022;9,250;9,250;9,250;9,250;EUR;0
